TraitID	Trait	ObsNum	ObsGRNum	AccSpecNum
1220	Wood fiber-pits types	3383	2678	3098
1216	Wood fiber cell wall thickness	3528	2783	3074
813	Plant morphological adaptations: seed or dispersal unit metamorphoses	12717		2987
45	Stomata conductance per leaf area	54309	48056	2969
310	Wood heartwood color	9114		2960
1254	Species tolerance to salt	4201	275	2959
211	Flower sexual self-incompatibility mechanism	4211		2958
237	Dispersal unit length	19094	165	2933
3111	"Leaf area (in case of compound leaves: leaflet, petiole included)"	22436	18085	2929
230	Species phyto-sociological group	7477		2881
153	Budbank height distribution	76199		2868
334	Plant vegetative reproduction: lateral spread	10493	1578	2867
865	Budbank seasonality	42224		2841
341	Plant clonal growth form	9045	49	2840
1146	Species start of CGO formation versus reproduction	8747		2823
1194	Tillering type	8736		2813
358	Plant vegetative reproduction: persistence of connection between clonal growth organs	8716		2810
1008	Plant vegetative regeneration species offspring size relative to parent	8730		2810
1118	Shoot cyclicity	8634	42	2809
357	Plant vegetative reproduction: role of clonal growth organ in plant growth	8766		2803
361	Plant number of offspring shoots per parent shoot per year	8717		2802
1093	Root position along clonal growth organ	8610		2792
232	Dispersal unit shape	10831		2784
1137	Species generation overlap	8621		2781
350	Seed morphology type	7695		2778
236	Dispersal unit width	15087	213	2757
3478	Leaf carbon (C) isotope fractionation ('big' Delta 13C)	4476	4447	2724
172	Stem conduit lumen cross-sectional area (vessels and tracheids) per stem sapwood cross-sectional are	3263	873	2679
917	Fruit width (diameter)	10417	4095	2672
320	Plant vital attributes of persistence and establishment	23296	18383	2658
1251	Plant vegetative phenology (leaf phenology)	4974	659	2653
204	Flower insemination autogamous or xenogamous	2777		2647
200	Species occurrence range: number of floristic zones	2657		2597
837	Bark structure 	4779	3790	2590
351	Seed number per dispersal unit	2860	48	2586
892	Dispersal unit appendages	13679		2571
836	Bark sieve tubes grouping	4495	3499	2562
324	Crown (canopy) length: diameter along the longest axis	31422	29704	2557
3594	Shoot acaulescent (without visible stem)	2557		2552
3595	Shoot erect	2557		2552
1030	Mycorrhizal infection intensity	8724	7468	2541
252	Leaf calcium (Ca) content per leaf dry mass	11077	7868	2540
61	Species tolerance to waterlogging	3777		2537
679	Plant palatability	10077	379	2536
893	Dispersal unit exposure 	2662		2533
3597	Stem armed	2502		2498
346	Plant defence mechanisms: chemical	3182		2484
1140	Species occurrence range characteristics	49480	21	2460
3098	Species genotype: chromosome number sporophytic	7884		2448
3598	Leaf armed	2437		2433
257	Leaf magnesium (Mg) content per leaf dry mass	10591	7539	2410
235	Dispersal unit thickness 	12541	138	2402
97	Seed protein content per seed mass	11854		2362
66	Seed terminal velocity	35513	3487	2349
212	Flower sex timing	2911		2349
762	Species understory/overstory	4339	2034	2336
52	Leaf potassium (K) content per leaf area	7422	7118	2325
940	Leaf length excluding petiole (leaf lamina length)	42694	36888	2315
33	Seed (seedbank) longevity	50246	319	2265
1138	Species nutrient requirements	4797		2245
597	Flowering requirement (requirement for fertility)	2258	32	2224
276	Wood vessel grouping	3507	1035	2217
3596	Stem solitary	2182		2181
581	Flower conspicuous	2202		2168
595	Species tolerance to CaCO3	2360	253	2165
1188	Stem self-supporting	4112		2162
593	Species habitat characterisation / Plant requirement: soil texture	6555		2151
277	Wood vessel outline	2518		2144
583	Leaf porosity	4440	214	2125
4080	"Budbank type belowground (Belowground Bud Bank, BBB)"	2115		2104
164	Leaf chlorophyll content per leaf dry mass	28344	27356	2094
602	Species habitat characterisation / Plant requirement: precipitation	4235		2085
610	Seed spread rate	2276		2083
600	Species habitat characterisation / Plant requirement: soil pH	4221		2077
24	Bark thickness	18989	11956	2060
1108	Seed structure type	4162		2058
409	Shoot carbon/nitrogen (C/N) ratio	2600	192	2038
329	Plant vegetative reproduction: clonality of ramets	2891	431	2037
239	Seed width	15281	910	2028
598	Species tolerance to hedges	2055		2026
12	Leaf lifespan (longevity)	7842	5613	2008
599	Plant moisture use type	2037		2007
613	Plant vegetative reproduction: spread rate	2034		2002
4042	Species phylogeny: number of species per genera	2022		1994
605	Fruit/seed abundance	2001		1972
256	Leaf iron (Fe) content per leaf dry mass	6753	3823	1971
937	Leaf isoprene emission category	3785	1272	1968
2815	Leaf volatile organic carbon (VOC): other than monoterpenes emission	3935	1333	1964
1433	Mycorrhizal colonization: classified fractions of root length that contain mycorrhizae	5554	5554	1962
611	Seedling vigor	1989		1961
3488	"Species nutritional relationships (mycorrhizal symbioses, N-fixation, parasitism, carnivory, …)"	2178	1541	1958
258	Leaf manganese (Mn) content per leaf dry mass	6748	3704	1947
413	Leaf chlorophyll content per leaf area	44462	42716	1895
283	Wood vessel tyloses and deposits	2766		1885
260	Leaf sodium (Na) content per leaf dry mass	6177	3450	1864
106	Stomata conductance per leaf dry mass	9328	5284	1823
1145	Species status (nativity at growth location)	2482		1822
834	Bark sclereids arrangement	3874	3010	1818
233	Dispersal unit dry mass	6023	1150	1815
3600	Fruit shape	1792		1791
128	Plant biomass and allometry: Stem dry mass per plant	22393	8191	1786
138	Seed number per reproducton unit	14887	143	1754
131	Plant biomass and allometry: Seed number per plant	12387	1834	1744
249	Leaf aluminium (Al) content per leaf dry mass	6124	3611	1737
1016	Plant height versus plant width relationship	2399		1728
268	Leaf zinc (Zn) content per leaf dry mass	5751	3382	1710
363	Plant biomass and allometry: Root dry mass per plant	24234	6531	1696
62	Leaf inrolling of lamina	4748	4713	1681
110	"Plant biomass and allometry: Leaf dry mass per plant dry mass (leaf weight ratio, LWR)"	18186	3151	1668
894	Dispersal unit surface structure	1712		1663
939	Leaf isoprene emission rate per leaf dry mass	4011	1856	1652
1111	Seedbank density	43548		1650
345	Plant defence mechanisms: physical	5353	555	1648
601	Species tolerance to planting density	3336		1643
781	Stomata distribution to ab- and adaxial leaf surfaces	3666	2696	1634
129	Plant biomass and allometry: Leaf dry mass per plant	26794	12557	1625
838	"Bark surface structure, texture, age"	2295	36	1621
831	Bark crystals	3593	2747	1619
822	Species occurrence range: ecological occurrence range	2808	88	1618
915	"Flower sexual syndrome (dichogamy, cleistogamy, dioecious, monoecious)"	5572	154	1611
2807	Seedbank number of layers	40342		1601
186	Photosynthesis carboxylation capacity (Vcmax) per leaf area (Farquhar model)	15966	8713	1572
2942	Species important species diagnostic traits	1883		1572
2809	Seedbank duration	38929		1564
326	Stem length	13030	11091	1552
4045	Species genom size: 2C	1572		1548
3599	Leaf rachis length	1531		1531
54	Leaf respiration rate in the dark per leaf area	23674	13488	1521
814	Plant morphological adaptations: root metamorphoses	4410	3729	1509
41	Leaf respiration rate in the dark per leaf dry mass	25062	11922	1492
437	Plant number of leaves	12095	9075	1491
975	Leaf revolute or involute	4088	3232	1486
238	Seed thickness	8227	517	1480
3026	Leaf phosphorus (P) retranslocation prior to leaf senescence	2395	2395	1480
49	Photosynthesis: intercellular CO2 concentration	27568	23364	1477
2808	Seedbank thickness of top layer	33002		1460
700	Plant biomass and allometry: Plant dry mass	19280	4437	1445
788	Species light requirement	1923	11	1426
826	Species occurrence range: altitude of origin	2726		1408
470	Plant biomass and allometry: Root mass fraction (fraction of root dry mass per whole plant dry mass)	15600	3397	1379
1263	Dispersal unit floating capacity	159702		1351
185	Photosynthesis carboxylation capacity (Vcmax) per leaf dry mass (Farquhar model)	6574	5655	1333
136	Plant biomass and allometry: Stem dry mass per plant dry mass	12580	962	1322
614	"Fine root length per fine root dry mass (specific fine root length, SRL)"	7310	5644	1308
722	Crown (canopy) density	1553	1553	1275
3685	Plant multi-stemness	1475	1475	1266
3684	Crown (canopy) elevation (bottom height)	2796	2796	1265
3687	Photosynthesis organ	1815	1815	1264
3695	Plant part protected by spines	1311	1311	1264
3689	Photosynthesis: primary photosynthetic apparatus type	1285	1285	1256
3688	Photosynthesis: primary photosynthetic apparatus cross section	1471	1471	1253
3694	Photosynthesis: primary photosynthetic apparatus abaxial color	1362	1362	1253
3690	Photosynthesis: primary photosynthetic apparatus shape	1465	1465	1251
3693	Photosynthesis: primary photosynthetic apparatus adaxial color	1360	1360	1251
3691	Photosynthesis: primary photosynthetic apparatus margin	1491	1491	1248
3692	Photosynthesis: primary photosynthetic apparatus indumentum	1394	1394	1248
3097	Species genotype: chromosome number gametophytic	3843		1243
1187	Stem longevity	1636		1211
575	Species US Wetland Indicator	1202		1195
4043	Species genom size: 2n	1191		1176
936	Leaf heterophylly	2311	807	1157
77	"Plant growth rate relative (plant relative growth rate, RGR)"	12682	4524	1154
234	Seed heteromorphy	3530		1150
896	Fine root diameter	6705	5625	1147
740	Leaf vein density	10370	8431	1142
1256	"Stem emergences (pubescence, hairs, spines, thorns)"	11539	11539	1136
1139	Species occurrence rang: typical abundance where naturally occurring	1532		1121
1206	Plant vegetative reproduction: pattern forming	1934		1113
34	Seed germination stimulation	2223	1649	1100
419	Wood vessel scalariform perforations	1274		1085
833	"Bark persistence (deciduous, persistent)"	3460	3460	1073
1096	Wood (sapwood) specific conductivity (stem specific conductivity)	2298	2211	1069
420	Wood: bars per vessel perforation plate	3749		1067
979	Leaf surface pattern type	7013	6992	1057
280	Wood vessel helical thickenings	2311	406	1056
4044	Species genom size: PL	1066		1052
262	Leaf sulfur (S) content per leaf dry mass	3860	3460	1047
835	"Bark secondary compounds: oil, tannins, latex, slime"	2079	1541	1045
255	Leaf copper (Cu) content per leaf dry mass	3646	3184	1043
931	Leaf display type	3516	3516	1038
929	Leaf aromatic	5377	5377	1036
980	Leaf surface waxiness	3497	3497	1036
2819	Stem presence	2686	2686	1032
1176	Stem color	2640	2640	1031
1189	Stem surface patterning	5282	5282	1031
2820	Stem image	2641	2641	1031
1236	Wood vessel cell-wall thickness	1121	928	1024
265	Leaf strontium (Sr) content per leaf dry mass	2847	827	1017
403	Plant biomass and allometry: Shoot dry mass (plant aboveground dry mass) per plant	43807	21377	1006
152	Leaf palatability	2755	107	1004
251	Leaf barium (Ba) content per leaf dry mass	3057	1186	994
269	Photosynthesis electron transport capacity (Jmax) per leaf area (Farquhar model)	11632	5118	990
39	Litter decomposition rate	4216	3669	965
719	"Xylem hydraulic vulnerability, xylem cavitation vulnerability, embolism vulnerability, (P20, P50, P8"	9818	7707	921
3019	Wood cross-sectional fraction of fibre area	1124		916
111	Leaf transpiration rate per leaf area	35568	33993	908
3018	Wood cross-sectional fraction of Vessel (conduit) area	1095		904
215	Flower UV light reflectance	2781		903
242	Species occurrence range: mode of introduction	1017		903
275	Wood vessel arrangement 	1308		901
1023	Plant containing salt glands	1287		896
250	Leaf boron (B) content per leaf dry mass	2965	2801	889
63	Stomata density	9026	7553	882
1781	Fine root tissue density (fine root dry mass per fine root volume)	4284	3490	881
333	Leaf ash content per leaf dry mass	2397	2280	880
349	Seed shape	1707	1475	873
3357	Stem construction type	913	876	864
3885	Species habitat characterization: climate preference: presence in Koeppen-Geiger Climate Zone	21609		861
253	Leaf cobalt (Co) content per leaf dry mass	2707	718	854
259	Leaf molybdenum (Mo) content per leaf dry mass	2142	1828	848
57	Leaf nitrogen (N) content per leaf	1689	1654	846
809	Leaf carotenoid content per leaf dry mass	3244	3244	842
254	Leaf chromium (Cr) content per leaf dry mass	2199	808	828
3355	Bark thickness (inner bark)	1747	1708	828
3356	Bark thickness (outer bark)	1747	1708	828
80	Root nitrogen (N) content per root dry mass	6301	4007	815
3095	Species habitat characterization: habitat	902		807
475	Fine root nitrogen (N) content per fine root dry mass	3625	2233	796
410	Leaf area per plant	17810	15754	792
3963	Species phylogenetic age	3216		792
70	Litter nitrogen (N) content per litter dry mass	1629	1322	791
228	Species tolerance to grazing	927		773
125	Leaf area per leaf fresh mass (specific leaf area (SLA or 1/LMA) based on leaf fresh mass)	16064	15531	772
3379	Photosynthesis: intercellular CO2 concentration to ambient CO2 (ci/ca)	6990	6464	766
3020	Wood cross-sectional fraction of wod ray area	780		759
3021	Wood cross-sectional fraction of axial parenchyma area	780		759
3370	Mycorrhiza status and microbial interactions	770		755
3371	Plant species use for bioremediation	768		753
407	Stem carbon (C) content per stem dry mass	3972	2866	751
2818	Leaf presence	1536	1536	747
543	Leaf rubidium (Rb) content per leaf dry mass	2213	6	735
2062	Fine root (absorptive) length per absorptive fine root dry mass (specific absorptive fine root lengt	3411	3209	734
764	Moss and fern spore width	744		720
1080	"Root length per root dry mass (specific root length, SRL)"	8330	5081	720
1104	"Inflorescence: seed number per inflorescence (total, fertile, infertile)"	2665	429	720
299	Wood storied structure	1817		712
3410	Species habitat characterization: substrate requirement	2884		709
3411	Moss: plant growth form (morphological)	721		709
3412	Moss: stem growth direction	721		709
3414	Moss: plant life form	721		709
3416	Moss: protonema persistence	721		709
3423	Moss: capsule with peristome or not	721		709
3427	Moss: vegetative regeneration	3600		708
3419	Moss: arrangement of antheridia and archegonia on gametohytes	718		706
3413	Moss: shoot length	716		704
3418	Moss: potential to dominate vegetation cover	715		703
3415	Moss: life strategy according to During (1979)	932		699
3422	Moss: position of the capsule on the seta	706		694
285	Wood tracheids and fibres	782		684
416	Leaf chlorophyll a/b ratio	2173	2157	683
3474	Leaf chlorophyll content per leaf dry mass (Chl a)	1596	1596	678
3475	Leaf chlorophyll content per leaf dry mass (Chl b)	1596	1596	678
1204	"Stem specific density (SSD, stem dry mass per stem fresh volume) or wood density: twigs and branches"	3295	3295	674
2943	Leaf respiration rate in the dark as fraction of photosynthetic carboxylation capacity (Vcmax)	1746	1746	674
293	Wood sheath cells	771		672
1184	Stem latex production	816	816	668
1029	Plant mono/poly carpic	885		666
227	Species tolerance to mowing	667		661
229	Species tolerance to trampling	667		661
261	Leaf nickel (Ni) content per leaf dry mass	1579	1327	661
547	Leaf caesium (Cs) content per leaf dry mass	1719		648
1200	Twig diameter	4393	4387	647
3425	Moss: fruiting frequency	656		646
3417	Moss: potentially hyaline hairpoint	657		645
1221	Wood fibers absent	711	599	640
3426	Moss: fruiting season	650		640
1182	Stem form (stem cross-sectional type)	6165	6165	637
542	Leaf bromine (Br) content per leaf dry mass	2153		636
142	Leaf perimeter	42345	42139	633
938	Leaf isoprene emission rate per leaf area	3248	1458	629
540	Leaf scandium (Sc) content per leaf dry mass	2090		627
539	Leaf chlorine (Cl) content per leaf dry mass	2101		626
2035	Fine root (absorptive) nitrogen (N) content per absorptive fine root dry mass	1750	1630	609
9	Root/shoot ratio	6964	2793	608
3472	"Stem specific density (SSD, stem dry mass per stem fresh volume) or wood density: sapwood"	3006	2978	608
3874	Species cambial variants: successive cambia presence / absence	641		605
965	Leaf volatile organic carbon (VOC): monoterpene emission category	1500	741	604
3875	Wood background imperforate tracheary element type	639		603
3421	Moss: seta length	614		602
353	Seed germination temperature	1740		599
778	Leaf petiole dry mass	14504	14345	597
3441	Plant biomass and allometry: Leaf dry mass per plant	17295	16907	597
270	Photosynthesis electron transport capacity (Jmax) per leaf dry mass (Farquhar model)	3443	2697	595
295	Wood ray cells perforated	671		594
325	Crown (canopy) width	15424	13908	594
784	Photosynthesis net assimilation rate per leaf area (NAR)	1423	28	594
2038	Fine root (absorptive) diameter	3703	3446	594
336	Seed number per ramet	2837		593
1103	Seed number per flower	1894		589
149	Plant vegetative reproduction: distance between ramets	805	770	588
3473	"Stem specific density (SSD, stem dry mass per stem fresh volume) or wood density: branch"	9492	9203	586
264	Leaf silicon (Si) content per leaf dry mass	1556	1503	579
1205	Wood vessels surrounded by tracheids (vasicentric tracheids)	1268	1174	577
1105	Seed number per square meter	1090		576
79	Leaf minus soil nitrogen (N) isotope signature (leaf delta 15N minus soil delta 15N)	3664	3664	568
815	Root morphological adaptations: aerenchyma	725	9	568
1142	Species soil pH requirement	3233	418	562
1141	Species occurrence range: elevation range	1002		557
1210	Wood vestures presence	1081	1037	553
551	Leaf samarium (Sm) content per leaf dry mass	1836		551
2945	Seed nitrogen (N) content per dry mass (or diaspore)	1704	144	548
3000	Seed phosphorus (P) content per dry mass (or diaspore)	1708	148	547
919	Fruit dry mass	12166	521	546
3446	Plant biomass and allometry: Whole plant aboveground dry mass	14972	14816	546
928	Leaf area-specific conductivity (leaf specific conductivity)	861	828	543
3660	Seed fresh mass	616		543
3126	Photosynthesis drawdown of CO2 concentration from ambient airspace to intercellular airspace	1572	1286	537
548	Leaf lanthanum (La) content per leaf dry mass	1781		535
3445	Plant biomass and allometry: Stem dry mass (including branches) per plant	14421	14265	532
967	Leaf volatile organic carbon (VOC): monoterpene emission rate per leaf dry mass	1946	1128	512
296	Wood with disjunctive ray parenchyma cell walls	564		506
3585	Seed starch content per seed dry mass	1530		505
3586	Seed fructans content per seed dry mass	1530		505
87	Leaf lignin content per leaf dry mass	1838	1536	502
82	Root tissue density (root dry mass per root volume)	7209	4830	501
1097	Wood (sapwood) water content	2285	2285	496
3476	Leaf chlorophyll content per leaf area (Chl a)	1251	1235	495
83	Root diameter	5137	2868	492
364	Plant height of lowest branch	19969	19676	491
4069	Reproductive organ rachis length	6665	6223	491
418	Leaf chlorophyll content per leaf carotene content	1299	1299	490
308	Wood silica content per wood dry mass	1244	88	489
1233	Stem pith type	767	578	486
3086	"Leaf area per leaf dry mass (specific leaf area, SLA or 1/LMA) petiole, rhachis and midrib excluded"	2311	2085	484
2037	Fine root (absorptive) tissue density (absorptive fine root dry mass per absorptive fine root volume	2362	2160	480
3477	Leaf chlorophyll content per leaf area (Chl b)	1235	1235	480
549	Leaf cerium (Ce) content per leaf dry mass	1473		472
71	Litter phosphorus (P) content per litter dry mass	815	703	471
968	Leaf nitrogen (N) fraction in ammonium (NH4+)	2948	2948	471
969	Leaf nitrogen (N) fraction in N2	2948	2948	471
970	Leaf nitrogen (N) fraction in nitrate (NO3-)	2948	2948	471
1181	"Stem dry mass per stem fresh mass (stem dry matter content, StDMC)"	4521	4228	471
779	Leaf petiole diameter (width)	8367	8353	467
564	Wood secretory elements	584		465
773	Crown (canopy) height (base to top)	10441	10279	465
3375	Leaf cell wall mass per leaf dry mass	587	469	460
1042	Pollen diameter	738		458
3037	Leaf shape: circularity - leaf area per leaf perimeter	5422	2578	457
406	Stem nitrogen (N) content per stem dry mass	3565	2617	454
471	Fine root carbon (C) content per fine root dry mass	1890	1037	452
1144	Species soil moisture requirements	966		452
491	Leaf carotenoid content per leaf area	2470	2470	445
3876	Xylem vasicentric tracheid presence/absence	466		444
3424	Moss and fern spore ornamentation	449		441
1222	"Wood fibers absent in the center, present at the periphery of the stem"	474	372	440
84	Root carbon (C) content per root dry mass	4253	2992	438
973	Leaf petiole projected area	7853	5230	438
777	Leaf petiole fresh mass	9949	9949	437
541	Leaf arsenic (As) content per leaf dry mass	596	104	422
3699	Plant microbial association	422	422	417
4051	Reproductive organ pistillate flower rachilla length	3361	2963	417
3364	Photosynthesis A/Ci curve: photosynthetic rate per leaf area	70154	1646	416
3366	Photosynthesis A/Ci curve: intercellular CO2 concentration	70155	1647	416
2039	Fine root (absorptive) carbon (C) content per absorptive fine root dry mass	724	664	414
1102	Seed germination type	547		404
301	Wood intercellular canals	644		403
180	Leaf epidermis volume per leaf volume	723	556	400
616	Stem phosphorus (P) content per stem dry mass	2236	1525	399
1107	Seed releasing height	7768	7612	399
2057	Fine root (absorptive) carbon/nitrogen (C/N) ratio	921	921	399
770	Plant mortality rate	1816	1805	395
3438	Plant biomass and allometry: Stem cross-sectional area at breast height	8626	8466	390
552	Leaf europium (Eu) content per leaf dry mass	1053		389
3374	Leaf cell wall mass per leaf area	483	367	389
171	"Stem, branch or twig sapwood cross-sectional area per supported leaf area (Huber value)"	642	633	387
109	Leaf area per plant dry mass (leaf area ratio; LAR)	5277	2954	386
3365	Photosynthesis A/Ci curve: stomata conductance per leaf area	64607	1648	386
58	Leaf phosphorus (P) content per leaf	1127	1123	382
560	Leaf thorium (Th) content per leaf dry mass	944		379
985	Leaflet length	1122		376
546	Leaf antimony (Sb) content per leaf dry mass	1230	16	375
681	Plant secondary compounds	379	267	374
3437	Plant biomass and allometry: Stem cross-sectional area at base of the plant	9704	9626	373
978	Leaf shrinkage	3438	3438	367
266	Leaf titanium (Ti) content per leaf dry mass	1186	1186	365
3447	Plant biomass and allometry: Branch dry mass per plant	6552	6396	361
267	Leaf vanadium (V) content per leaf dry mass	763	590	360
4074	Reproductive organ staminate rachilla length	1797	1635	358
1246	"Wood vessel: dark staining substances in vessels and/or fibers (gum, tannins)"	366	283	357
971	Leaflet number of first order per leaf	995		351
3686	Shoot erectness	377	377	345
134	Photosynthesis rate per leaf transpiration (photosynthetic water use effinciency: WUE)	2961	2412	343
